"상권별(1)",상권별(2),상권별(3),2024.1/4,2024.2/4
"전국",소계,소계,7.6,8.0
"서울",소계,소계,5.7,6.5
"서울",소계(도심지역),소계,6.2,6.0
"서울",소계(도심지역),광화문,0.0,0.0
"서울",소계(도심지역),남대문,9.6,9.6
"서울",소계(도심지역),동대문,12.0,12.0
"서울",소계(도심지역),명동,1.8,2.4
"서울",소계(도심지역),시청,4.3,4.3
"서울",소계(도심지역),을지로,4.5,4.5
"서울",소계(도심지역),종로,6.6,6.3
"서울",소계(도심지역),충무로,3.9,2.9
"서울",소계(강남지역),소계,2.6,5.8
"서울",소계(강남지역),강남대로,0.0,11.0
"서울",소계(강남지역),교대역,11.0,22.0
"서울",소계(강남지역),남부터미널,0.0,0.0
"서울",소계(강남지역),논현역,0.0,0.0
"서울",소계(강남지역),도산대로,0.0,0.0
"서울",소계(강남지역),신사역,7.4,4.8
"서울",소계(강남지역),압구정,0.0,0.0
"서울",소계(강남지역),청담,2.9,11.3
"서울",소계(강남지역),테헤란로,1.0,1.0
"서울",소계(영등포신촌지역),소계,4.4,4.4
"서울",소계(영등포신촌지역),공덕역,1.0,1.0
"서울",소계(영등포신촌지역),당산역,0.0,0.0
"서울",소계(영등포신촌지역),동교/연남,2.4,2.4
"서울",소계(영등포신촌지역),망원역,0.0,0.0
"서울",소계(영등포신촌지역),신촌/이대,18.3,18.3
"서울",소계(영등포신촌지역),영등포역,5.5,5.5
"서울",소계(영등포신촌지역),홍대/합정,4.7,4.7
"서울",소계(기타지역),소계,6.1,6.5
"서울",소계(기타지역),가락시장,2.2,0.0
"서울",소계(기타지역),건대입구,0.0,0.0
"서울",소계(기타지역),경희대,0.0,0.0
"서울",소계(기타지역),군자,0.0,0.0
"서울",소계(기타지역),노량진,4.0,5.8
"서울",소계(기타지역),독산/시흥,0.0,0.0
"서울",소계(기타지역),뚝섬,5.8,5.8
"서울",소계(기타지역),목동,9.0,9.0
"서울",소계(기타지역),미아사거리,16.3,16.3
"서울",소계(기타지역),불광역,7.5,7.5
"서울",소계(기타지역),사당,2.4,0.0
"서울",소계(기타지역),상계역,2.6,2.6
"서울",소계(기타지역),상봉역,0.0,0.0
"서울",소계(기타지역),서울대입구역,6.1,6.1
"서울",소계(기타지역),성신여대,1.0,4.5
"서울",소계(기타지역),수유,8.9,8.9
"서울",소계(기타지역),숙명여대,0.0,0.0
"서울",소계(기타지역),신림역,1.1,1.1
"서울",소계(기타지역),연신내,33.0,33.0
"서울",소계(기타지역),오류동역,2.6,2.6
"서울",소계(기타지역),왕십리,0.0,0.0
"서울",소계(기타지역),용산역,11.1,11.1
"서울",소계(기타지역),이태원,13.4,13.4
"서울",소계(기타지역),잠실/송파,6.7,19.8
"서울",소계(기타지역),잠실새내역,9.7,9.7
"서울",소계(기타지역),장안동,16.4,12.6
"서울",소계(기타지역),천호,0.9,2.3
"서울",소계(기타지역),청량리,3.8,2.5
"서울",소계(기타지역),혜화동,0.6,0.6
"서울",소계(기타지역),화곡,7.5,11.7
"부산",소계,소계,8.7,9.5
"부산",경성대/부경대,소계,2.7,2.7
"부산",광안리,소계,14.2,14.2
"부산",구서동/금정구청,소계,6.1,1.7
"부산",남포동,소계,19.4,21.9
"부산",남항동,소계,4.1,5.6
"부산",덕천역,소계,8.5,7.0
"부산",동래역,소계,17.7,13.9
"부산",부산대학앞,소계,25.6,23.4
"부산",부산역,소계,1.5,1.5
"부산",부전시장,소계,14.4,14.4
"부산",사상역,소계,4.9,4.9
"부산",사직야구장,소계,0.0,0.0
"부산",서면/전포,소계,8.6,10.2
"부산",송정해수욕장,소계,3.2,11.5
"부산",수영역,소계,5.1,10.2
"부산",연산로터리,소계,3.0,4.9
"부산",온천장,소계,1.7,1.7
"부산",하단역,소계,2.9,2.9
"부산",해운대,소계,2.7,6.6
"부산",현대백화점주변,소계,2.1,2.1
"대구",소계,소계,8.8,9.2
"대구",경북대북문,소계,0.0,0.0
"대구",동대구,소계,18.6,13.2
"대구",동성로중심,소계,9.9,10.5
"대구",들안길,소계,3.6,3.6
"대구",삼덕/대봉,소계,8.2,3.3
"대구",상인/월배,소계,4.5,4.5
"대구",서문시장/청라언덕,소계,9.7,16.3
"대구",수성범어,소계,23.5,24.4
"대구",시지지구,소계,8.2,19.2
"대구",월촌/안지랑,소계,5.3,5.3
"대구",죽전,소계,0.4,0.4
"대구",칠곡,소계,5.0,5.0
"인천",소계,소계,6.9,7.3
"인천",간석오거리,소계,4.9,6.5
"인천",계양계산,소계,0.7,0.0
"인천",구월,소계,0.0,0.0
"인천",부평,소계,3.1,7.2
"인천",석남/가정중앙시장,소계,10.2,7.8
"인천",신포동,소계,12.6,11.4
"인천",주안,소계,6.5,6.5
"광주",소계,소계,9.3,9.2
"광주",금남로/충장로,소계,12.0,16.1
"광주",금호지구,소계,0.0,0.0
"광주",봉선동,소계,7.9,0.0
"광주",상무지구,소계,13.1,13.1
"광주",송정동지구,소계,17.6,12.1
"광주",양산지구,소계,8.6,8.6
"광주",용봉동,소계,2.7,2.7
"광주",월산동지구,소계,12.7,8.3
"광주",전남대,소계,21.9,19.7
"광주",첨단1지구,소계,0.0,0.0
"대전",소계,소계,9.3,8.8
"대전",노은,소계,0.0,0.0
"대전",복합터미널,소계,16.7,16.7
"대전",서대전네거리,소계,15.8,12.0
"대전",용문/한민시장,소계,17.1,14.1
"대전",원도심,소계,9.8,10.2
"대전",유성온천역,소계,9.4,6.2
"울산",소계,소계,8.9,7.2
"울산",삼산동,소계,3.2,2.8
"울산",성남옥교동,소계,11.5,10.8
"울산",신정동,소계,5.0,4.2
"울산",울산농소,소계,44.5,17.8
"울산",울산대,소계,14.5,17.4
"울산",전하동,소계,7.1,11.1
"세종",소계,소계,11.3,11.3
"세종",조치원,소계,6.7,6.7
"경기",소계,소계,7.7,8.3
"경기",고양시청,소계,0.0,0.0
"경기",광명철산,소계,18.9,23.7
"경기",광주시가지,소계,0.0,0.8
"경기",구리역,소계,0.0,0.0
"경기",기흥역,소계,3.2,3.2
"경기",김량장동,소계,7.6,10.8
"경기",동두천중앙로,소계,13.8,13.8
"경기",모란,소계,0.0,0.0
"경기",병점역,소계,0.0,0.0
"경기",부천역,소계,7.5,23.0
"경기",성남구시가지,소계,4.2,9.6
"경기",수원역,소계,5.8,5.8
"경기",신장/지산/서정,소계,3.3,3.3
"경기",신천역,소계,22.2,22.2
"경기",안성시장,소계,22.5,11.2
"경기",안양역,소계,21.3,21.3
"경기",여주시청,소계,15.7,21.0
"경기",오산시청,소계,3.9,3.9
"경기",용인수지,소계,3.7,3.7
"경기",의정부역,소계,4.1,4.1
"경기",이천종합터미널,소계,0.0,0.0
"경기",인계동,소계,2.2,2.2
"경기",인덕원,소계,9.4,9.4
"경기",탄현역,소계,0.0,0.0
"경기",파주시청,소계,7.1,7.1
"경기",팔달문로터리,소계,19.2,19.2
"경기",평택역,소계,5.6,5.6
"경기",포천시외버스터미널,소계,10.2,10.2
"경기",하남원도심,소계,13.0,12.6
"강원",소계,소계,9.2,10.2
"강원",강릉교동,소계,0.0,0.0
"강원",강릉중부,소계,8.4,8.4
"강원",묵호항,소계,13.4,13.4
"강원",삼척중앙시장,소계,7.0,7.0
"강원",속초중앙시장,소계,22.7,19.9
"강원",영월경찰서,소계,0.0,0.0
"강원",원주중앙/일산,소계,9.6,11.1
"강원",주문진항,소계,13.8,13.8
"강원",춘천명동,소계,9.0,9.0
"강원",태백중앙시장,소계,4.7,4.7
"충북",소계,소계,8.0,8.6
"충북",봉명사거리,소계,0.0,0.0
"충북",제천역,소계,2.7,2.7
"충북",제천중앙,소계,16.2,15.4
"충북",증평광장로,소계,21.2,21.2
"충북",청주성안길,소계,6.7,6.7
"충북",충북대학교,소계,12.6,12.6
"충북",충주연수칠금,소계,6.1,6.1
"충북",충주자유시장,소계,10.8,10.8
"충남",소계,소계,8.0,7.8
"충남",강경젓갈시장,소계,6.9,3.2
"충남",공주대,소계,5.3,5.3
"충남",공주웅진동,소계,3.6,3.6
"충남",논산시외버스터미널,소계,11.3,5.5
"충남",당진시청,소계,7.1,7.1
"충남",두정,소계,0.0,0.0
"충남",배방읍,소계,0.0,0.0
"충남",보령문화의전당,소계,6.9,8.3
"충남",서산터미널,소계,17.2,20.7
"충남",아산온양,소계,6.6,7.0
"충남",예산시장,소계,15.8,15.8
"충남",천안역,소계,10.1,10.8
"충남",천안종합버스터미널,소계,7.1,7.1
"충남",태안터미널,소계,6.6,6.6
"충남",합덕버스터미널,소계,0.0,0.0
"전북",소계,소계,9.4,9.0
"전북",군산구도심,소계,13.7,13.7
"전북",김제시장,소계,5.0,5.0
"전북",남원광한루,소계,6.8,6.7
"전북",송천동,소계,13.0,13.0
"전북",영등부송,소계,0.0,0.0
"전북",익산역,소계,12.4,12.2
"전북",전주동부,소계,2.8,4.0
"전북",전주서부,소계,2.1,2.1
"전북",정읍중심,소계,12.1,15.4
"전남",소계,소계,6.6,7.5
"전남",광양읍,소계,5.2,5.2
"전남",광양중동,소계,0.0,0.0
"전남",나주구시가지,소계,9.4,9.4
"전남",목포구도심,소계,10.9,12.0
"전남",무선지구,소계,0.0,0.0
"전남",순천법원,소계,0.0,0.0
"전남",순천원도심,소계,19.8,20.5
"전남",여수여문,소계,5.9,3.2
"전남",여수원도심,소계,13.2,12.0
"전남",여수학동,소계,2.4,2.4
"전남",조례,소계,0.0,9.7
"전남",하당신도심,소계,2.6,14.0
"경북",소계,소계,6.5,7.9
"경북",가흥택지개발지구,소계,0.0,0.0
"경북",경주도심,소계,24.6,29.3
"경북",구미산업단지,소계,8.7,8.7
"경북",구미선주원남동,소계,4.0,4.0
"경북",구미역,소계,5.4,8.1
"경북",문경점촌흥덕,소계,12.0,11.4
"경북",상주동문동,소계,14.5,14.5
"경북",안동구도심,소계,7.3,6.0
"경북",양덕동,소계,7.6,10.9
"경북",영일대해수욕장,소계,0.0,0.0
"경북",영주중앙,소계,4.7,26.7
"경북",옥동사거리,소계,0.0,0.0
"경북",포항도심,소계,7.5,10.5
"경남",소계,소계,7.3,7.1
"경남",거제고현,소계,3.9,3.9
"경남",거제옥포,소계,13.3,10.7
"경남",김해시청/동상시장,소계,7.3,7.3
"경남",마산동서동,소계,8.9,14.0
"경남",마산역버스터미널,소계,6.1,6.1
"경남",밀양원도심/삼문동,소계,11.4,6.0
"경남",양산구도심,소계,10.4,12.1
"경남",진주중앙시장,소계,18.6,15.7
"경남",진해석동,소계,0.0,0.0
"경남",창원시청,소계,0.0,0.0
"경남",창원역,소계,0.0,0.0
"경남",창원월영동,소계,11.2,13.8
"경남",창원의창구청,소계,3.5,3.5
"경남",통영 강구안,소계,3.5,9.0
"경남",평거동,소계,4.4,0.0
"경남",활천동,소계,1.7,1.7
"제주",소계,소계,3.8,3.8
"제주",광양사거리,소계,7.1,7.1
"제주",노형오거리,소계,0.0,0.0
"제주",서귀포도심,소계,2.8,2.8
"제주",중앙사거리,소계,4.0,4.0
